freelancer_id,name,skills,experience_years,hourly_rate,rating,jobs_completed,location,total_earnings,member_since,success_rate,on_time_delivery_rate
475,Freelancer_475,"CSS, Content Writing",8,18,3.8,2,"Mumbai, India",5768,24-02-2023,85%,92%
476,Freelancer_476,"Machine Learning, C++, Python, HTML",14,120,3.1,47,"Vancouver, Canada",7614,13-05-2020,99%,98%
477,Freelancer_477,Machine Learning,10,73,4.3,62,"Berlin, Germany",7218,22-02-2021,98%,92%
478,Freelancer_478,"UI/UX Design, Java, Machine Learning, Digital Marketing",3,43,3.1,47,"Madrid, Spain",797,17-05-2024,90%,88%
479,Freelancer_479,"Node.js, JavaScript, Data Analysis",14,138,4.6,15,"Toronto, Canada",8304,04-01-2020,98%,88%
480,Freelancer_480,HTML,16,36,4.3,49,"London, UK",4109,25-08-2020,86%,92%
481,Freelancer_481,"Content Writing, HTML",10,109,3.5,69,"New York, USA",871,31-01-2020,92%,95%
482,Freelancer_482,"CSS, SQL, Node.js",16,116,3.6,73,"Madrid, Spain",2704,28-10-2020,94%,96%
483,Freelancer_483,"Digital Marketing, Java",15,46,4.6,58,"London, UK",85,11-06-2020,94%,95%
484,Freelancer_484,"Data Analysis, C++",20,35,4.4,54,"New York, USA",1701,20-12-2023,89%,86%
485,Freelancer_485,"Digital Marketing, C++, Data Analysis",5,43,4.1,4,"Sydney, Australia",8631,30-07-2022,94%,99%
486,Freelancer_486,"HTML, Content Writing, Data Analysis",0,19,5,6,"Paris, France",8761,15-05-2021,86%,94%
487,Freelancer_487,Machine Learning,2,34,4.6,71,"Vancouver, Canada",6023,12-01-2020,100%,87%
488,Freelancer_488,Data Analysis,8,95,4.8,28,"Sydney, Australia",3288,19-01-2022,80%,88%
489,Freelancer_489,"UI/UX Design, Data Analysis, C++",11,26,3.8,45,"Tokyo, Japan",2919,23-11-2020,83%,94%
490,Freelancer_490,"Content Writing, Java, HTML",5,87,3.7,73,"Paris, France",6716,13-02-2021,97%,89%
491,Freelancer_491,CSS,0,105,4.7,95,"San Francisco, USA",3230,21-04-2020,82%,91%
492,Freelancer_492,"JavaScript, UI/UX Design",17,138,3,71,"Vancouver, Canada",4312,05-11-2023,96%,89%
493,Freelancer_493,"UI/UX Design, SQL",1,105,4,66,"Berlin, Germany",8865,20-01-2022,81%,88%
494,Freelancer_494,"JavaScript, React, Node.js, HTML",13,22,4.2,64,"Sydney, Australia",5562,13-08-2020,85%,86%
495,Freelancer_495,"JavaScript, CSS, SQL",17,144,4,6,"Berlin, Germany",2534,29-12-2022,90%,98%
496,Freelancer_496,Data Analysis,1,139,3.7,12,"Berlin, Germany",8094,09-04-2021,95%,93%
497,Freelancer_497,"React, CSS, C++, Data Analysis",13,78,4.3,3,"London, UK",6644,03-09-2020,84%,87%
498,Freelancer_498,HTML,18,127,3.2,100,"Toronto, Canada",2472,24-04-2023,92%,98%
499,Freelancer_499,"Content Writing, React",7,109,4.4,49,"Vancouver, Canada",9902,13-03-2022,100%,93%
500,Freelancer_500,"Machine Learning, Node.js, Python, Data Analysis",11,132,4.6,8,"Paris, France",1938,07-10-2020,95%,98%
